sample_ind,filename,category,original_label,is_label_changed,predicted_label,loss
33,n07614500_20342.JPEG,n07614500,928,False,0,0.0
34,n02328150_10638.JPEG,n02328150,332,False,0,0.0
35,n01530575_5807.JPEG,n01530575,985,True,0,0.0
36,n02977058_24450.JPEG,n02977058,480,False,0,0.0
37,n02106030_7895.JPEG,n02106030,231,False,0,0.0
38,n01981276_642.JPEG,n01981276,121,False,0,0.0
39,n02123045_1526.JPEG,n02123045,281,False,0,0.0
40,n01873310_12255.JPEG,n01873310,103,False,0,0.0
41,n02666196_12027.JPEG,n02666196,398,False,0,0.0
42,n02106030_7324.JPEG,n02106030,231,False,0,0.0
43,n01530575_1195.JPEG,n01530575,985,True,0,0.0
44,n03017168_6380.JPEG,n03017168,494,False,0,0.0
45,n02790996_11899.JPEG,n02790996,422,False,0,0.0
46,n03710721_14600.JPEG,n03710721,639,False,0,0.0
47,n04090263_13588.JPEG,n04090263,764,False,0,0.0
48,n02480855_13779.JPEG,n02480855,366,False,0,0.0
49,n09421951_11081.JPEG,n09421951,977,False,0,0.0
50,n01981276_14512.JPEG,n01981276,121,False,0,0.0
51,n02119789_8758.JPEG,n02119789,278,False,0,0.0
52,n01530575_3950.JPEG,n01530575,985,True,0,0.0
53,n02802426_19727.JPEG,n02802426,430,False,0,0.0
54,n02088238_6481.JPEG,n02088238,161,False,0,0.0
55,n03661043_39898.JPEG,n03661043,624,False,0,0.0
56,n04515003_31198.JPEG,n04515003,881,False,0,0.0
57,n02085936_6602.JPEG,n02085936,153,False,0,0.0
58,n02492035_11602.JPEG,n02492035,378,False,0,0.0
59,n03733131_9434.JPEG,n03733131,645,False,0,0.0
60,n01530575_922.JPEG,n01530575,985,True,0,0.0
61,n06359193_74709.JPEG,n06359193,916,False,0,0.0
62,n13040303_1272.JPEG,n13040303,994,False,0,0.0
63,n03297495_7283.JPEG,n03297495,550,False,0,0.0
64,n04599235_25142.JPEG,n04599235,911,False,0,0.0
65,n01530575_8609.JPEG,n01530575,985,True,0,0.0
66,n02105505_1671.JPEG,n02105505,228,False,0,0.0
67,n04067472_13736.JPEG,n04067472,758,False,0,0.0
68,n01530575_8504.JPEG,n01530575,985,True,0,0.0
69,n03857828_59539.JPEG,n03857828,688,False,0,0.0
70,n03924679_1648.JPEG,n03924679,713,False,0,0.0
71,n04141076_6513.JPEG,n04141076,776,False,0,0.0
72,n01631663_4118.JPEG,n01631663,27,False,0,0.0
73,n01530575_36636.JPEG,n01530575,985,True,0,0.0
74,n02965783_1294.JPEG,n02965783,475,False,0,0.0
75,n02443114_3859.JPEG,n02443114,358,False,0,0.0
76,n02950826_11825.JPEG,n02950826,471,False,0,0.0
77,n02326432_7831.JPEG,n02326432,331,False,0,0.0
78,n01530575_2778.JPEG,n01530575,985,True,0,0.0
79,n01828970_4397.JPEG,n01828970,92,False,0,0.0
80,n04099969_13601.JPEG,n04099969,765,False,0,0.0
81,n01530575_4190.JPEG,n01530575,985,True,0,0.0
82,n03595614_1690.JPEG,n03595614,610,False,0,0.0
83,n03527444_5543.JPEG,n03527444,597,False,0,0.0
84,n07716358_18658.JPEG,n07716358,939,False,0,0.0
85,n01530575_73.JPEG,n01530575,985,True,0,0.0
86,n02325366_3420.JPEG,n02325366,330,False,0,0.0
87,n03478589_7147.JPEG,n03478589,586,False,0,0.0
88,n02101388_21180.JPEG,n02101388,215,False,0,0.0
89,n01797886_7904.JPEG,n01797886,82,False,0,0.0
90,n04041544_21649.JPEG,n04041544,754,False,0,0.0
91,n03947888_19014.JPEG,n03947888,724,False,0,0.0
92,n02948072_9615.JPEG,n02948072,470,False,0,0.0
93,n02012849_12865.JPEG,n02012849,134,False,0,0.0
94,n02981792_10723.JPEG,n02981792,484,False,0,0.0
95,n04344873_17044.JPEG,n04344873,831,False,0,0.0
96,n01795545_2909.JPEG,n01795545,80,False,0,0.0
97,n01644900_1060.JPEG,n01644900,32,False,0,0.0
98,n04033901_16974.JPEG,n04033901,749,False,0,0.0
99,n02229544_826.JPEG,n02229544,312,False,0,0.0
100,n02787622_3899.JPEG,n02787622,420,False,0,0.0
101,n04590129_13289.JPEG,n04590129,905,False,0,0.0
102,n01530575_8598.JPEG,n01530575,985,True,0,0.0
103,n01697457_7731.JPEG,n01697457,49,False,0,0.0
104,n02088364_8145.JPEG,n02088364,162,False,0,0.0
105,n02437616_7290.JPEG,n02437616,355,False,0,0.0
106,n01580077_12864.JPEG,n01580077,17,False,0,0.0
107,n02109525_41003.JPEG,n02109525,247,False,0,0.0
108,n02134084_14326.JPEG,n02134084,296,False,0,0.0
109,n03085013_8347.JPEG,n03085013,508,False,0,0.0
110,n01530575_10224.JPEG,n01530575,985,True,0,0.0
111,n02093647_2602.JPEG,n02093647,181,False,0,0.0
112,n01530575_5454.JPEG,n01530575,985,True,0,0.0
113,n07873807_17638.JPEG,n07873807,963,False,0,0.0
114,n03764736_3047.JPEG,n03764736,653,False,0,0.0
115,n01530575_6165.JPEG,n01530575,985,True,0,0.0
116,n02100583_28599.JPEG,n02100583,211,False,0,0.0
117,n03942813_7337.JPEG,n03942813,722,False,0,0.0
118,n02951358_1586.JPEG,n02951358,472,False,0,0.0
119,n01530575_4121.JPEG,n01530575,985,True,0,0.0
120,n02105056_6540.JPEG,n02105056,224,False,0,0.0
121,n01616318_75.JPEG,n01616318,23,False,0,0.0
122,n03478589_17617.JPEG,n03478589,586,False,0,0.0
123,n01530575_6074.JPEG,n01530575,985,True,0,0.0
124,n02120505_3133.JPEG,n02120505,280,False,0,0.0
125,n03042490_3276.JPEG,n03042490,500,False,0,0.0
126,n04562935_18951.JPEG,n04562935,900,False,0,0.0
127,n01530575_1027.JPEG,n01530575,985,True,0,0.0
128,n02137549_840.JPEG,n02137549,298,False,0,0.0
129,n02483708_2555.JPEG,n02483708,369,False,0,0.0
130,n07892512_14885.JPEG,n07892512,966,False,0,0.0
131,n07892512_6035.JPEG,n07892512,966,False,0,0.0
132,n04311004_6679.JPEG,n04311004,821,False,0,0.0
133,n03095699_266.JPEG,n03095699,510,False,0,0.0
134,n04442312_3472.JPEG,n04442312,859,False,0,0.0
135,n02129604_8618.JPEG,n02129604,292,False,0,0.0
136,n02825657_22402.JPEG,n02825657,442,False,0,0.0
137,n02837789_12574.JPEG,n02837789,445,False,0,0.0
138,n03393912_8244.JPEG,n03393912,565,False,0,0.0
139,n04442312_14623.JPEG,n04442312,859,False,0,0.0
140,n01530575_10526.JPEG,n01530575,985,True,0,0.0
141,n03935335_21450.JPEG,n03935335,719,False,0,0.0
142,n02206856_845.JPEG,n02206856,309,False,0,0.0
143,n02480495_6155.JPEG,n02480495,365,False,0,0.0
144,n03400231_437.JPEG,n03400231,567,False,0,0.0
145,n03623198_4639.JPEG,n03623198,615,False,0,0.0
146,n02437312_10204.JPEG,n02437312,354,False,0,0.0
147,n03770679_2701.JPEG,n03770679,656,False,0,0.0
148,n03187595_9721.JPEG,n03187595,528,False,0,0.0
149,n03657121_8968.JPEG,n03657121,622,False,0,0.0
150,n02111129_4677.JPEG,n02111129,255,False,0,0.0
151,n02092002_10116.JPEG,n02092002,177,False,0,0.0
152,n04523525_5961.JPEG,n04523525,884,False,0,0.0
153,n02105056_4033.JPEG,n02105056,224,False,0,0.0
154,n02281787_2768.JPEG,n02281787,326,False,0,0.0
155,n07880968_3738.JPEG,n07880968,965,False,0,0.0
156,n03658185_8337.JPEG,n03658185,623,False,0,0.0
157,n01945685_10790.JPEG,n01945685,114,False,0,0.0
158,n03857828_39429.JPEG,n03857828,688,False,0,0.0
159,n02486410_12795.JPEG,n02486410,372,False,0,0.0
160,n07730033_2163.JPEG,n07730033,946,False,0,0.0
161,n02102177_8535.JPEG,n02102177,218,False,0,0.0
162,n01749939_8928.JPEG,n01749939,64,False,0,0.0
163,n09428293_34316.JPEG,n09428293,978,False,0,0.0
164,n04131690_5530.JPEG,n04131690,773,False,0,0.0
165,n03444034_4184.JPEG,n03444034,573,False,0,0.0
166,n03742115_2259.JPEG,n03742115,648,False,0,0.0
167,n02108422_7944.JPEG,n02108422,243,False,0,0.0
168,n01644900_5350.JPEG,n01644900,32,False,0,0.0
169,n02437312_6888.JPEG,n02437312,354,False,0,0.0
170,n01530575_4255.JPEG,n01530575,985,True,0,0.0
171,n03866082_977.JPEG,n03866082,689,False,0,0.0
172,n04026417_10110.JPEG,n04026417,748,False,0,0.0
173,n01530575_216.JPEG,n01530575,985,True,0,0.0
174,n01530575_4503.JPEG,n01530575,985,True,0,0.0
175,n03920288_2910.JPEG,n03920288,712,False,0,0.0
176,n02808304_14211.JPEG,n02808304,434,False,0,0.0
177,n01697457_2526.JPEG,n01697457,49,False,0,0.0
178,n01530575_10499.JPEG,n01530575,985,True,0,0.0
179,n02106550_6955.JPEG,n02106550,234,False,0,0.0
180,n01530575_419.JPEG,n01530575,985,True,0,0.0
181,n04435653_5799.JPEG,n04435653,858,False,0,0.0
182,n02119022_9596.JPEG,n02119022,277,False,0,0.0
183,n03908618_10498.JPEG,n03908618,709,False,0,0.0
184,n02279972_14744.JPEG,n02279972,323,False,0,0.0
185,n01530575_8386.JPEG,n01530575,985,True,0,0.0
186,n04336792_53535.JPEG,n04336792,830,False,0,0.0
187,n01530575_3730.JPEG,n01530575,985,True,0,0.0
188,n02096437_4476.JPEG,n02096437,194,False,0,0.0
189,n03792782_4545.JPEG,n03792782,671,False,0,0.0
190,n07875152_1090.JPEG,n07875152,964,False,0,0.0
191,n01530575_8726.JPEG,n01530575,985,True,0,0.0
192,n02093754_4213.JPEG,n02093754,182,False,0,0.0
193,n01530575_10091.JPEG,n01530575,985,True,0,0.0
194,n02128385_17862.JPEG,n02128385,288,False,0,0.0
195,n02483362_24912.JPEG,n02483362,368,False,0,0.0
196,n04461696_4111.JPEG,n04461696,864,False,0,0.0
197,n02892767_10307.JPEG,n02892767,459,False,0,0.0
198,n02097474_17135.JPEG,n02097474,200,False,0,0.0
199,n07753592_4843.JPEG,n07753592,954,False,0,0.0
200,n01530575_34622.JPEG,n01530575,985,True,0,0.0
201,n01530575_9097.JPEG,n01530575,985,True,0,0.0
202,n03325584_9714.JPEG,n03325584,552,False,0,0.0
203,n03804744_40118.JPEG,n03804744,677,False,0,0.0
204,n02101388_1383.JPEG,n02101388,215,False,0,0.0
205,n02655020_8767.JPEG,n02655020,397,False,0,0.0
206,n03792782_6761.JPEG,n03792782,671,False,0,0.0
207,n03691459_45841.JPEG,n03691459,632,False,0,0.0
208,n02963159_21189.JPEG,n02963159,474,False,0,0.0
209,n02268443_8654.JPEG,n02268443,319,False,0,0.0
210,n01530575_3083.JPEG,n01530575,985,True,0,0.0
211,n01530575_10717.JPEG,n01530575,985,True,0,0.0
212,n04067472_10875.JPEG,n04067472,758,False,0,0.0
213,n01530575_4352.JPEG,n01530575,985,True,0,0.0
214,n03447721_51854.JPEG,n03447721,577,False,0,0.0
215,n03661043_8489.JPEG,n03661043,624,False,0,0.0
216,n03355925_9681.JPEG,n03355925,557,False,0,0.0
217,n01530575_7266.JPEG,n01530575,985,True,0,0.0
218,n02028035_25412.JPEG,n02028035,141,False,0,0.0
219,n02536864_10045.JPEG,n02536864,391,False,0,0.0
220,n01530575_401.JPEG,n01530575,985,True,0,0.0
221,n01530575_39442.JPEG,n01530575,985,True,0,0.0
222,n07836838_4373.JPEG,n07836838,960,False,0,0.0
223,n02500267_5180.JPEG,n02500267,384,False,0,0.0
224,n03933933_17766.JPEG,n03933933,718,False,0,0.0
225,n02489166_3941.JPEG,n02489166,376,False,0,0.0
226,n02783161_11795.JPEG,n02783161,418,False,0,0.0
227,n07753275_24870.JPEG,n07753275,953,False,0,0.0
228,n03100240_1107.JPEG,n03100240,511,False,0,0.0
229,n03950228_1870.JPEG,n03950228,725,False,0,0.0
230,n01530575_4256.JPEG,n01530575,985,True,0,0.0
231,n03676483_165.JPEG,n03676483,629,False,0,0.0
232,n03676483_8460.JPEG,n03676483,629,False,0,0.0
233,n01530575_38903.JPEG,n01530575,985,True,0,0.0
234,n02398521_8467.JPEG,n02398521,344,False,0,0.0
235,n01828970_1344.JPEG,n01828970,92,False,0,0.0
236,n01580077_5254.JPEG,n01580077,17,False,0,0.0
237,n03000684_12474.JPEG,n03000684,491,False,0,0.0
238,n03394916_27560.JPEG,n03394916,566,False,0,0.0
239,n03976467_8616.JPEG,n03976467,732,False,0,0.0
240,n01665541_4877.JPEG,n01665541,34,False,0,0.0
241,n03482405_31664.JPEG,n03482405,588,False,0,0.0
242,n04149813_10899.JPEG,n04149813,781,False,0,0.0
243,n01530575_7135.JPEG,n01530575,985,True,0,0.0
244,n01855032_7661.JPEG,n01855032,98,False,0,0.0
245,n03692522_11945.JPEG,n03692522,633,False,0,0.0
246,n01622779_22574.JPEG,n01622779,24,False,0,0.0
247,n01530575_8848.JPEG,n01530575,985,True,0,0.0
248,n03891251_7181.JPEG,n03891251,703,False,0,0.0
249,n01530575_711.JPEG,n01530575,985,True,0,0.0
250,n01530575_7173.JPEG,n01530575,985,True,0,0.0
251,n03496892_394.JPEG,n03496892,595,False,0,0.0
252,n04612504_7851.JPEG,n04612504,914,False,0,0.0
253,n04251144_12940.JPEG,n04251144,801,False,0,0.0
254,n07873807_11996.JPEG,n07873807,963,False,0,0.0
255,n02098105_10788.JPEG,n02098105,202,False,0,0.0
